id,categoria,tema
186,Cidade e planeta,"Quem deve pagar pelas consequências das mudanças climáticas?"
187,Cidade e planeta,"É justo proteger uma espécie quando isso ameaça o sustento de uma comunidade?"
188,Cidade e planeta,"Uma cidade pode crescer sem expulsar quem a tornou interessante?"
189,Cidade e planeta,"O carro particular representa liberdade ou dependência?"
190,Cidade e planeta,"Por que espaços públicos de qualidade são distribuídos de forma tão desigual?"
191,Cidade e planeta,"Deveríamos conceder direitos jurídicos a rios, florestas e ecossistemas?"
192,Cidade e planeta,"O lixo deixa de ser nossa responsabilidade quando sai de casa?"
193,Cidade e planeta,"Morar sozinho é conquista individual ou sintoma de uma sociedade fragmentada?"
194,Cidade e planeta,"É possível consumir de forma ética dentro de cadeias globais invisíveis?"
195,Cidade e planeta,"Uma cidade silenciosa seria melhor ou menos viva?"
196,Cidade e planeta,"Por que enchentes são tratadas como desastres naturais quando muitas causas são humanas?"
197,Cidade e planeta,"Quem deveria decidir o futuro de um bairro: seus moradores ou a cidade inteira?"
198,Cidade e planeta,"A humanidade deveria adaptar o planeta às suas necessidades ou adaptar suas necessidades ao planeta?"
199,Cidade e planeta,"O espaço urbano revela quais vidas uma sociedade considera importantes?"
200,Cidade e planeta,"O que as ruínas de nossa época contarão sobre nós?"
